Id,QueueId,Queue.Name,SobjectType
03gRo00000Uu6RFIAZ,00GRo00000RBdEcMAL,Marine Dye Lead Queue,Lead
03g4O000000CmjGQAS,00G4O0000049WRIUA2,Mark Arbelo's Lead Queue,Lead
03g0B000000XFhGQAW,00G0B000003cuaEUAQ,Mark Asmer Leads Queue,Lead
03gRo000003gkMTIAY,00GRo000004IjqnMAC,Mark Rabe Leads Queue,Lead
03g4O000000CmjLQAS,00G4O0000049WRNUA2,Mark Toflinski's Lead Queue,Lead
03gRo000003gZCaIAM,00GRo000004IbTTMA0,Matt Ehlke Leads Queue,Lead
03g4O000000xHmpQAE,00G4O000004Pg0pUAC,Matt Hill's Leads Queue,Lead
03gRo00000Uu6SrIAJ,00GRo00000RBdXxMAL,Maxime Roussel Lead Queue,Lead
03g0B000000XFhkQAG,00G0B000003cuaiUAA,Mike Davis Leads Queue,Lead
03g5b0000012GCzAAM,00G5b000003ttUoEAI,Mike Herzer Leads Queue,Lead
03g5b00000050q3AAA,00G5b00000363IBEAY,Mike Iacovelli Leads Queue,Lead
03g5b00000050ptAAA,00G5b00000363HwEAI,Mike Roda Leads Queue,Lead
03g5b000000VO3wAAG,00G5b0000043lJDEAY,Mike Wilson Leads Queue,Lead
03g0B000000XFhLQAW,00G0B000003cuaJUAQ,Mooney's Leads Queue,Lead
03g5b00000052DrAAI,00G5b00000367omEAA,Nadia Akhtar's Leads Queue,Lead
03g4O000000CmnDQAS,00G4O0000049WyZUAU,New Leads,Lead
03g5b00000052DIAAY,00G5b00000367oDEAQ,Nick Radwell's Leads Queue,Lead
03gRo00000E6OIvIAN,00GRo00000FsM7oMAF,Nicole Day-Shepperly's Leads Queue,Lead
03g5b00000050qDAAQ,00G5b00000363ILEAY,Owen Manor Leads Queue,Lead
03g4O0000008WVRQA2,00G4O000003uS58UAE,Parts Leads Queue,Lead
03gRo00000GDaVtIAL,00GRo00000I9RzVMAV,Pete Lockwood's Leads Queue,Lead
03g4O000000xGy1QAE,00G4O000004PUXAUA4,Pete Tierney Leads Queue,Lead
03gRo00000LJwllIAD,00GRo00000LtNRJMA3,Philippa Campbell Leads Queue,Lead
03g4O000000CmjuQAC,00G4O0000049WTsUAM,Probo - Probes,Lead
03g4O000000CmjzQAC,00G4O0000049WTxUAM,Providian - Probes,Lead
03gRo00000XqKZ7IAN,00GRo00000TlusTMAR,Prudence Hawkins,Lead
03gRo00000bJoAHIA0,00GRo00000VDUw5MAH,Quality Assurance,ApprovalSubmission
03gRo00000ZWiwEIAT,00GRo00000VDUw5MAH,Quality Assurance,Change_Request__c
03gRo00000ZWiwFIAT,00GRo00000VDUw5MAH,Quality Assurance,Document_Review__c
03gRo00000ZWjVhIAL,00GRo00000VDUw5MAH,Quality Assurance,Training_Item__c
03g5b0000004zMbAAI,00G5b0000035YsJEAU,Radiology Sales,Lead
03g4O000000Cmk4QAC,00G4O0000049WU2UAM,Rental Leads,Lead
03g4O000000CmjpQAC,00G4O0000049WTdUAM,Repair Leads,Lead
03g5b0000004z7HAAQ,00G5b0000035Rv1EAE,RMA Approval Queue,RMA__c
03g4O000000xGy6QAE,00G4O000004PUXFUA4,Ryan's Leads Queue,Lead
03g5b00000052E6AAI,00G5b00000367p1EAA,Sacha Pearce's Leads Queue,Lead
03gRo00000SIPGAIA5,00GRo00000PXFRiMAP,Sales Ops Queue,Case
03g4O000000xHiEQAU,00G4O000004PdqiUAC,Sales Requests,Case
03g5b000000Pw6TAAS,00G5b000004JpbUEAS,Sanjay Mirchia's Leads Queue,Lead
03g4O000000CmjQQAS,00G4O0000049WRSUA2,Scott Brandt's Lead Queue,Lead
03g4O000000xGyBQAU,00G4O000004PUXKUA4,Scott Hassler's Leads Queue,Lead
03g5b0000004zp4AAA,00G5b0000035ibcEAA,Sean Flynn's Lead Queue,ChargentOrders__Email_Notification__c
03g5b0000004zopAAA,00G5b0000035ibcEAA,Sean Flynn's Lead Queue,Lead
03g4O000000xHjlQAE,00G4O000004PeV6UAK,Service Contract Quote Requests,Case
03g4O000000CmjkQAC,00G4O0000049WTYUA2,Service Leads Queue,Lead
03g5b00000052DcAAI,00G5b00000367oXEAQ,Simon Fairhurst's Leads Queue,Lead
03gRo00000Uu6W5IAJ,00GRo00000RBdcnMAD,Simon Roussel Lead Queue,Lead
03g4O000000CmiwQAC,00G4O0000049WKHUA2,Stacey's Lead Queue,Lead
03gRo000007qKGLIA2,00GRo000008wALlMAM,Stephanie Jankowski Leads Queue,Lead
03g4O000000xH0gQAE,00G4O000004PVjHUAW,Stephen Glasgow Leads Queue,Lead
03g5b00000052DSAAY,00G5b00000367oNEAQ,Steve Andrews' Leads Queue,Lead
03g4O000000xHjgQAE,00G4O000004PeV1UAK,System Quote Requests,Case
03g5b00000052DDAAY,00G5b00000367o8EAA,Tamara Harwood's Leads Queue,Lead
03g4O000000xHqhQAE,00G4O000004PghBUAS,Tech Support,Case
03g4O000000XJscQAG,00G4O000003dLQUUA2,Terry Mascia Leads Queue,Lead
03g4O000000CmjVQAS,00G4O0000049WRXUA2,Tim Maltby's Lead Queue,Lead
03gRo00000JGO3RIAX,00GRo00000KkeerMAB,Tom Lawton's Lead Queue,Lead
03g5b0000012H7WAAU,00G5b000003tztuEAA,Tommy Lee's Leads Queue,Lead
03g4O000000GesuQAC,00G4O000003WAIwUAO,Trisonics Lead Queue,Lead
03gRo000006AG9hIAG,00GRo000007IHftMAG,UK - Non-Contract Ultrasound,Lead
03gRo000006ACHOIA4,00GRo000007IAGFMA4,UK - Non-Contract X-Ray,Lead
03g5b0000004zGnAAI,00G5b0000035UgEEAU,UK Leads Queue,Lead
03g5b0000004zMWAAY,00G5b0000035YsEEAU,UK Product Sales,Lead
03g5b0000004zMRAAY,00G5b0000035Ys9EAE,UK Service,Lead
03g5b0000004zMMAAY,00G5b0000035Ys4EAE,UK Vet,Lead
03gRo00000TIAReIAP,00GRo00000Q8DfSMAV,UK Warehouse Queue,Case
03g4O000000h3lfQAA,00G4O000004UEo8UAG,Unassigned Leads Queue,Lead
03gRo00000b1fTdIAI,00GRo00000WaFPVMA3,Wayne O'Brien Leads Queue,Lead
03g5b000000VOcXAAW,00G5b0000043ptqEAA,WC Peeler Leads Queue,Lead
03g4O000000xGzJQAU,00G4O000004PVSfUAO,Zoe's Leads Queue,Lead
